split,method,K,hit,mrr,ndcg,recall,n_examples,n_with_relevant
test,mean_author_embedding,5,0.00963000487536192,0.004865686409175396,0.005418712738901377,0.008489609695971012,1973,279
test,mean_author_embedding,10,0.017232641577720642,0.005923015996813774,0.007609950378537178,0.014825139194726944,1973,279
test,mean_author_embedding,20,0.025848960503935814,0.006478015333414078,0.009444436989724636,0.02175198495388031,1973,279
test,author_retriever,5,0.010136847384274006,0.006090555805712938,0.006332229357212782,0.008996452204883099,1973,279
test,author_retriever,10,0.019766852259635925,0.0073150224052369595,0.008923825807869434,0.016768036410212517,1973,279
test,author_retriever,20,0.028383173048496246,0.007968888618052006,0.010829389095306396,0.023483697324991226,1973,279
test,graphsage_author,5,0.011657374911010265,0.006563608534634113,0.006860318128019571,0.009503294713795185,1973,279
test,graphsage_author,10,0.018246324732899666,0.00737133901566267,0.008658991195261478,0.01499408669769764,1973,279
test,graphsage_author,20,0.02939685806632042,0.008153842762112617,0.011195995844900608,0.02424396201968193,1973,279
test,graphsage_author_metacluster,5,0.010136847384274006,0.0058540296740829945,0.0059460862539708614,0.008743030950427055,1973,279
test,graphsage_author_metacluster,10,0.020273694768548012,0.0072114416398108006,0.008737802505493164,0.016936983913183212,1973,279
test,graphsage_author_metacluster,20,0.03091738559305668,0.007956689223647118,0.011137780733406544,0.02576448768377304,1973,279
test,graphsage_transformer_author,5,0.015712114050984383,0.007847609929740429,0.008448070846498013,0.013220138847827911,1973,279
test,graphsage_transformer_author,10,0.022301064804196358,0.008642065338790417,0.010217553935945034,0.018584221601486206,1973,279
test,graphsage_transformer_author,20,0.03649264946579933,0.009630374610424042,0.0136238569393754,0.031086333096027374,1973,279
test,graphsage_transformer_author_metacluster,5,0.011657374911010265,0.005879371892660856,0.006318611092865467,0.00967224221676588,1973,279
test,graphsage_transformer_author_metacluster,10,0.021287379786372185,0.00720138568431139,0.009244943968951702,0.018330799415707588,1973,279
test,graphsage_transformer_author_metacluster,20,0.032944753766059875,0.007988831028342247,0.011884216219186783,0.02821422554552555,1973,279
