split,model,K,hit,mrr,ndcg,n_examples,n_with_relevant
test,author_retriever,10,0.0197668525088697,0.0073150226470044,0.008923825452751,1973,279
test,author_retriever,50,0.0440952863659401,0.0084887378254213,0.0137934783884049,1973,279
test,author_retriever,100,0.0582868727825646,0.0086969608464226,0.0159558480053524,1973,279
test,mean_author_embedding,10,0.0172326406487582,0.0059230162752717,0.0076099506406688,1973,279
test,mean_author_embedding,50,0.0425747592498732,0.006985500291852,0.0124402482663494,1973,279
test,mean_author_embedding,100,0.0547389761784085,0.0071563696078962,0.0142263352189264,1973,279
test,random,10,0.0,0.0,0.0,1973,279
test,random,50,0.0030410542321338,0.0001303032472061,0.0006118576838048,1973,279
test,random,100,0.0040547389761784,0.0001463857455491,0.0007493623122167,1973,279
val,graphsage_author,10,0.0262246412666996,0.0129876377402354,0.0149311324423308,2021,280
val,graphsage_author,50,0.0484908461157842,0.0140794335120942,0.0198785054948897,2021,280
val,graphsage_author,100,0.0598713508164275,0.0142468584714556,0.0216496432595757,2021,280
test,graphsage_author,10,0.0182463253928028,0.0073713384661179,0.0086589911833303,1973,279
test,graphsage_author,50,0.0461226558540293,0.0086548905668773,0.0142574545540467,1973,279
test,graphsage_author,100,0.0658895083628991,0.0089390673218376,0.0173850334125877,1973,279
val,graphsage_author_metacluster,10,0.0301830776843146,0.0134239296906293,0.0162708896882597,2021,280
val,graphsage_author_metacluster,50,0.0554181098466105,0.0145354959565903,0.021648429303554,2021,280
val,graphsage_author_metacluster,100,0.0667986145472538,0.0147047558528287,0.0235093439888256,2021,280
test,graphsage_author_metacluster,10,0.020273694880892,0.0072114417654204,0.0087378031917049,1973,279
test,graphsage_author_metacluster,50,0.0476431829700963,0.008490645561034,0.0143058690149081,1973,279
test,graphsage_author_metacluster,100,0.0613279270146984,0.0087017254373824,0.0163887545229219,1973,279
