method,K,observed_hit,observed_mrr,observed_ndcg,llm_ndcg@10,llm_precision@10_ge2,mean_llm_score@10
mean_author_embedding,10,0.017232640648758235,0.0059230162752717235,0.0076099506406688356,0.8146552132966676,0.6200000000000001,1.6049999999999998
mean_author_embedding,50,0.04257475924987329,0.00698550029185203,0.012440248266349405,0.8146552132966676,0.6200000000000001,1.6049999999999998
author_retriever,10,0.019766852508869743,0.007315022647004401,0.008923825452751095,0.8435846668654003,0.6725,1.7325
author_retriever,50,0.04409528636594019,0.00848873782542133,0.013793478388404955,0.8435846668654003,0.6725,1.7325
graphsage_author,10,0.01824632539280284,0.00737133846611799,0.008658991183330375,0.7528849292453346,0.5525,1.4375000000000002
graphsage_author,50,0.046122655854029394,0.008654890566877372,0.014257454554046766,0.7528849292453346,0.5525,1.4375000000000002
graphsage_author_metacluster,10,0.02027369488089204,0.007211441765420478,0.008737803191704975,0.8663022261332012,0.65,1.6824999999999999
graphsage_author_metacluster,50,0.0476431829700963,0.008490645561034063,0.014305869014908136,0.8663022261332012,0.65,1.6824999999999999
fusion_author_retriever_graphsage_author_a0p30,10,0.02331474911302585,0.009174249189454461,0.010842636749214934,0.8296206870545969,0.6,1.5799999999999996
fusion_author_retriever_graphsage_author_a0p30,50,0.047136340598074,0.010149638752177963,0.015497452093123596,0.8296206870545969,0.6,1.5799999999999996
graphsage_transformer_author,10,0.022301064368981247,0.008642064698831045,0.010217552988125173,0.8489548580692932,0.6799999999999999,1.7450000000000003
graphsage_transformer_author,50,0.05271160669031931,0.010154879082990053,0.01684072423332701,0.8489548580692932,0.6799999999999999,1.7450000000000003
graphsage_transformer_author_metacluster,10,0.021287379624936646,0.007201385369150194,0.009244944500770493,0.8518438011858898,0.6525000000000001,1.6975000000000002
graphsage_transformer_author_metacluster,50,0.05220476431829701,0.00858974782499843,0.015480959256853615,0.8518438011858898,0.6525000000000001,1.6975000000000002
